Female,Pairbonded,TopMale,PropTopSongs,nTopSongs,nEggs,Aviary,EggsAssigned,Disrupted
FBWB,True,MGRG,0.9492753623188406,131.0,3.0,12,True,False
FDR,True,MW2R,0.9777777777777777,44.0,3.0,12,True,False
FGOG,True,MRBG,0.9886363636363636,174.0,9.0,12,True,False
FLD,True,MGRG,0.9117647058823529,186.0,1.0,12,True,False
FLN,True,MGRG,0.6413793103448275,93.0,1.0,12,True,False
FNMO,False,MW2R,0.5247933884297521,127.0,0.0,12,True,False
FO2P,True,MDBR,0.9411764705882353,64.0,0.0,12,True,False
FOY,True,MNDO,0.9808612440191388,205.0,4.0,12,True,False
FPBM,True,MGRG,0.6818181818181818,120.0,7.0,12,True,False
FPOD,True,MRBG,0.8674698795180723,144.0,6.0,12,True,False
FR2G,True,MW2R,0.9745627980922098,613.0,10.0,12,True,False
FRLR,True,MLNR,0.9470899470899471,179.0,17.0,12,True,False
FYBL,True,MDBR,0.9802816901408451,348.0,14.0,12,True,False
F2RD,True,MO,0.9361702127659575,44.0,8.0,13,True,False
FGRN,True,M2M,0.6417910447761194,86.0,0.0,13,True,False
FGYD,True,MBDY,0.8541666666666666,41.0,5.0,13,True,False
FLBM,True,MBDY,0.9577464788732394,204.0,0.0,13,True,False
FLG,True,M2M,0.6271186440677966,37.0,13.0,13,True,False
FLOY,True,MMG,0.9650145772594753,331.0,3.0,13,True,False
FR2D,True,MWG,0.9518072289156626,158.0,6.0,13,True,False
FRL,True,MWG,0.9402985074626866,63.0,0.0,13,True,False
FRM,False,MWG,0.2857142857142857,4.0,0.0,13,True,False
FRW,True,MND,0.9171974522292994,144.0,5.0,13,True,False
FWN,True,M2M,0.813953488372093,35.0,3.0,13,True,False
FYB,True,MND,0.6923076923076923,36.0,0.0,13,True,False
F2MO,True,MDGR,0.9292929292929293,92.0,0.0,14,True,True
F2RW,True,MDGR,0.9512195121951219,195.0,3.0,14,True,True
FBNM,True,MB2M,0.6147540983606558,150.0,5.0,14,True,True
FDR,True,MRLW,0.746268656716418,50.0,6.0,14,True,True
FGBD,True,MLB,0.7274826789838337,315.0,8.0,14,True,True
FNMW,True,M2YL,0.9387755102040817,138.0,0.0,14,True,True
